,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-02-23,2016-02-23,0.0,0.0,0.0,4,0.0540400906465947,0.03256953996606167,0.9133903682231903,0.0,0.0,1.0,0,0,4,0.0,176.02000427246094,174.38999938964844
2016-02-24,2016-02-24,0.1111111111111111,0.1111111111111111,0.2222222222222222,9,0.2898317041496436,0.027620053850114283,0.6825482489334213,0.2222222222222222,0.0,0.7777777777777778,2,0,7,0.2222222222222222,172.8300018310547,175.7899932861328
2016-02-25,2016-02-25,0.0,0.0,0.2,5,0.18499842956662174,0.01415899526327844,0.8008425831794739,0.0,0.0,1.0,0,0,5,0.0,177.86000061035156,183.0399932861328
2016-02-26,2016-02-26,0.09090909090909091,0.0,0.13636363636363635,22,0.2794361349449239,0.2232753244778988,0.49728854322298005,0.3181818181818182,0.22727272727272727,0.45454545454545453,7,5,10,0.09090909090909091,183.9600067138672,181.2100067138672
2016-02-29,2016-02-29,0.1,0.0,0.1,20,0.12754193115979434,0.1792781812138855,0.6931798759847879,0.1,0.2,0.7,2,4,14,-0.1,180.5500030517578,179.55999755859375
2016-03-01,2016-03-01,0.07142857142857142,0.14285714285714285,0.14285714285714285,14,0.24853605963289738,0.06327988519998526,0.6881840548345021,0.2857142857142857,0.0,0.7142857142857143,4,0,10,0.2857142857142857,181.0800018310547,184.3300018310547
2016-03-02,2016-03-02,0.09523809523809523,0.047619047619047616,0.19047619047619047,21,0.15812019915098235,0.28160886901120347,0.5602709376918418,0.14285714285714285,0.2857142857142857,0.5714285714285714,3,6,12,-0.14285714285714285,183.0,181.8800048828125
2016-03-03,2016-03-03,0.16666666666666666,0.0,0.08333333333333333,12,0.21974188756818572,0.11176205418693518,0.6684960662387311,0.16666666666666666,0.08333333333333333,0.75,2,1,9,0.08333333333333333,181.58999633789065,183.6699981689453
2016-03-04,2016-03-04,0.25,0.0,0.0,4,0.09835530119016761,0.02593553462065752,0.8757091611623764,0.0,0.0,1.0,0,0,4,0.0,184.5399932861328,184.77999877929688
2016-03-07,2016-03-07,0.34782608695652173,0.08695652173913043,0.17391304347826086,23,0.09386238982172114,0.07872810048739544,0.8274095097313756,0.08695652173913043,0.0,0.9130434782608695,2,0,21,0.08695652173913043,184.22000122070312,185.3000030517578
2016-03-08,2016-03-08,0.05555555555555555,0.0,0.2222222222222222,18,0.046931636002328636,0.3366720425999827,0.6163963213976886,0.0,0.4444444444444444,0.5555555555555556,0,8,10,-0.4444444444444444,184.66000366210935,182.9199981689453
2016-03-09,2016-03-09,2.6363636363636362,0.0,3.272727272727273,11,0.04394043634899635,0.353811464949765,0.6022480942986228,0.0,0.2727272727272727,0.7272727272727273,0,3,8,-0.2727272727272727,184.0399932861328,186.5500030517578
2016-03-10,2016-03-10,0.2,0.0,0.3333333333333333,15,0.17545871566981078,0.10534320237735904,0.7191980776687463,0.13333333333333333,0.06666666666666667,0.8,2,1,12,0.06666666666666667,187.32000732421875,185.009994506836
2016-03-11,2016-03-11,0.09090909090909091,0.0,0.36363636363636365,11,0.29387531158598984,0.021872567520900145,0.6842521212317727,0.2727272727272727,0.0,0.7272727272727273,3,0,8,0.2727272727272727,186.88999938964844,187.6100006103516
2016-03-14,2016-03-14,1.7142857142857142,0.14285714285714285,1.5714285714285714,7,0.15676997548767496,0.05313842783548999,0.7900916018656322,0.14285714285714285,0.0,0.8571428571428571,1,0,6,0.14285714285714285,186.8000030517578,186.0
2016-03-15,2016-03-15,0.875,0.25,0.375,8,0.11979833827354011,0.1260851502884179,0.7541165035218,0.0,0.125,0.875,0,1,7,-0.125,185.66000366210935,186.92999267578125
2016-03-16,2016-03-16,0.30434782608695654,0.043478260869565216,0.30434782608695654,23,0.08182983149005019,0.019327539140763454,0.898842630179032,0.0,0.0,1.0,0,0,23,0.0,186.92999267578125,198.16000366210935
2016-03-17,2016-03-17,0.06896551724137931,0.034482758620689655,0.1206896551724138,58,0.2106316710083649,0.037685991345166106,0.7516823380157865,0.15517241379310345,0.017241379310344827,0.8275862068965517,9,1,48,0.13793103448275862,198.22000122070312,201.0200042724609
2016-03-18,2016-03-18,0.027777777777777776,0.0,0.05555555555555555,36,0.22658810169539517,0.07951249872955182,0.6938994003252851,0.19444444444444445,0.05555555555555555,0.75,7,2,27,0.1388888888888889,200.38999938964844,201.0
2016-03-21,2016-03-21,0.037037037037037035,0.0,0.25925925925925924,27,0.21786633451227788,0.11259637072820353,0.6695372994851183,0.18518518518518517,0.1111111111111111,0.7037037037037037,5,3,19,0.07407407407407407,200.8999938964844,202.67999267578125
2016-03-22,2016-03-22,8.0,0.0,1.4285714285714286,7,0.07635975283171446,0.018128888016300502,0.9055113536970956,0.0,0.0,1.0,0,0,7,0.0,202.3999938964844,204.1000061035156
2016-03-23,2016-03-23,2.0,0.3333333333333333,0.3333333333333333,3,0.12033481523394579,0.03551418644686533,0.844150980313619,0.0,0.0,1.0,0,0,3,0.0,204.0,202.32000732421875
2016-03-24,2016-03-24,0.29411764705882354,0.11764705882352941,0.17647058823529413,17,0.05630336910047947,0.23034006899551435,0.713356556261287,0.0,0.23529411764705882,0.7647058823529411,0,4,13,-0.23529411764705882,202.009994506836,198.33999633789065
2016-03-25,2016-03-25,0.0,0.0,0.0,10,0.09951657392084594,0.1081772159785032,0.7923061788082123,0.0,0.0,1.0,0,0,10,0.0,202.009994506836,198.33999633789065
2016-03-28,2016-03-28,0.0,0.0,0.0,7,0.10885509955031525,0.09826828113624024,0.7928766054766518,0.14285714285714285,0.0,0.8571428571428571,1,0,6,0.14285714285714285,199.47000122070312,198.1199951171875
2016-03-29,2016-03-29,0.0,0.0,0.0,6,0.10308177024126049,0.015582203554610367,0.8813360333442688,0.0,0.0,1.0,0,0,6,0.0,200.6100006103516,203.02999877929688
2016-03-30,2016-03-30,0.1111111111111111,0.0,0.3333333333333333,9,0.4714435318277942,0.23843220476475022,0.29012427230676013,0.5555555555555556,0.2222222222222222,0.2222222222222222,5,2,2,0.3333333333333333,204.6000061035156,203.5200042724609
2016-03-31,2016-03-31,0.0,0.0,0.1111111111111111,9,0.5266444414026208,0.1706270258873701,0.3027285287777583,0.6666666666666666,0.1111111111111111,0.2222222222222222,6,1,2,0.5555555555555556,203.7100067138672,202.42999267578125
2016-04-01,2016-04-01,0.17391304347826086,0.043478260869565216,0.0,23,0.05837097569652225,0.10674530518767622,0.8348837002463962,0.0,0.08695652173913043,0.9130434782608695,0,2,21,-0.08695652173913043,203.1199951171875,203.47000122070312
2016-04-04,2016-04-04,0.3235294117647059,0.058823529411764705,0.29411764705882354,34,0.09925239031915278,0.1675387697896975,0.7332088425755501,0.058823529411764705,0.17647058823529413,0.7647058823529411,2,6,26,-0.11764705882352941,205.27999877929688,205.3500061035156
2016-04-05,2016-04-05,0.0,0.0,0.6666666666666666,6,0.08381560196479158,0.018944202922284534,0.8972401916980743,0.0,0.0,1.0,0,0,6,0.0,202.75,203.3099975585937
2016-04-06,2016-04-06,0.0,0.0,0.0,1,0.1197125539183616,0.0090883029624819,0.8711991310119629,0.0,0.0,1.0,0,0,1,0.0,204.19000244140625,204.97000122070312
2016-04-07,2016-04-07,0.0,0.0,0.05,20,0.11278768302872777,0.039232861762866354,0.8479794442653656,0.0,0.0,1.0,0,0,20,0.0,202.33999633789065,203.91000366210935
